rank_profile,query_type,k,precision,mrr
track_name_semantic,track_name,2,0.942,0.881
track_name_semantic,track_name,5,0.996,0.8961
track_name_semantic,track_name,10,0.998,0.8963
track_name_semantic,llm,2,0.232,0.197
track_name_semantic,llm,5,0.306,0.2175333333333333
track_name_semantic,llm,10,0.342,0.2222460317460317
lyrics_semantic,track_name,2,0.0,0.0
lyrics_semantic,track_name,5,0.0,0.0
lyrics_semantic,track_name,10,0.0,0.0
lyrics_semantic,llm,2,0.0,0.0
lyrics_semantic,llm,5,0.0,0.0
lyrics_semantic,llm,10,0.0,0.0
track_name_bm25,track_name,2,0.912,0.838
track_name_bm25,track_name,5,0.976,0.8576333333333332
track_name_bm25,track_name,10,0.996,0.8604357142857143
track_name_bm25,llm,2,0.28,0.242
track_name_bm25,llm,5,0.38,0.2701666666666666
track_name_bm25,llm,10,0.454,0.2801603174603174
lyrics_bm25,track_name,2,0.504,0.441
lyrics_bm25,track_name,5,0.624,0.4735666666666666
lyrics_bm25,track_name,10,0.7,0.4844166666666665
lyrics_bm25,llm,2,0.782,0.714
lyrics_bm25,llm,5,0.88,0.7420999999999996
lyrics_bm25,llm,10,0.908,0.7456738095238092
hybrid,track_name,2,0.846,0.679
hybrid,track_name,5,0.996,0.7245666666666661
hybrid,track_name,10,1.0,0.7250666666666662
hybrid,llm,2,0.728,0.663
hybrid,llm,5,0.86,0.7002999999999998
hybrid,llm,10,0.896,0.7051119047619049
